Date,Date_Year,Rank,Symbol,Market Cap,Price,Circulating Supply,Volume,%1h,price_hr_1,%24h,price_hr_24,%7d
2014-02-09,2014,9,QRK,19774658.0,0.08,247523968.0,210568.0,-1.33,0.078936,8.72,0.086976,-22.28
2014-02-09,2014,10,PTS,16778317.0,11.6,1446972.0,99468.0,1.31,11.75196,11.02,12.878319999999999,-17.12
2014-02-09,2014,11,MEC,11582569.0,0.52,22102676.0,77917.0,-0.23,0.518804,10.59,0.575068,-16.84
2014-02-09,2014,12,XPM,10231020.0,2.34,4364750.0,145406.0,-0.05,2.3388299999999997,4.86,2.453724,-22.49
2014-02-09,2014,13,IFC,9025789.0,0.0,90087727104.0,39081.0,5.85,0.0,0.0,0.0,-6.44
2014-02-09,2014,14,WDC,7197880.0,0.16,43987680.0,605894.0,-2.65,0.15576,-7.37,0.148208,-49.13
2014-02-09,2014,15,VTC,6987057.0,4.3,1623200.0,493625.0,2.05,4.3881499999999996,24.8,5.3664,583.33
2014-02-09,2014,16,NVC,6916244.0,9.89,699417.0,71015.0,0.16,9.905824,2.63,10.150107,-22.88
2014-02-09,2014,17,FTC,6701452.0,0.2,32766850.0,50878.0,0.27,0.20054000000000002,3.65,0.2073,-29.6
2014-02-09,2014,18,YBC,3501582.0,3.41,1025440.0,11330.0,-0.66,3.3874940000000002,-30.96,2.3542639999999997,-13.94
2014-02-09,2014,19,TIX,3038606.0,0.0,66876280832.0,1461.0,-0.52,0.0,-1.25,0.0,-20.11
2014-02-09,2014,20,DVC,2604690.0,0.0,6264370176.0,10825.0,-2.62,0.0,3.88,0.0,-23.11
2014-02-16,2014,1,BTC,7650358897.0,616.63,12406725.0,40061716.0,2.62,632.785706,-5.35,583.640295,-10.93
2014-02-16,2014,2,LTC,391928398.0,15.2,25776504.0,7650138.0,1.84,15.47968,-5.8,14.318399999999999,-17.49
2014-02-16,2014,3,XRP,119913225.0,0.02,7817889792.0,80122.0,2.48,0.020496,-4.81,0.019038,-12.06
2014-02-16,2014,4,PPC,83374178.0,3.94,21154750.0,813573.0,2.18,4.025892,-8.06,3.622436,-16.36
2014-02-16,2014,5,DOGE,71890532.0,0.0,50877566976.0,2110323.0,1.77,0.0,-7.12,0.0,9.19
2014-02-16,2014,6,NXT,57427542.0,0.06,999998016.0,294501.0,1.9,0.06114,-0.57,0.059657999999999996,16.81
2014-02-16,2014,7,OMNI,41102057.0,66.35,619478.0,19888.0,3.79,68.86466499999999,-12.98,57.73777,4.39
2014-02-16,2014,8,NMC,29679609.0,3.69,8051393.0,810107.0,2.21,3.771549,-6.05,3.466755,-15.05
2014-02-16,2014,9,XCP,24517503.0,9.26,2648756.0,191391.0,-1.55,9.11647,22.13,11.309238,0.0
2014-02-16,2014,10,QRK,16952553.0,0.07,247566256.0,219386.0,1.37,0.07095900000000001,-2.49,0.06825700000000001,-14.0
2014-02-16,2014,11,PTS,14908904.0,10.04,1484466.0,124644.0,-0.52,9.987791999999999,-1.84,9.855264,-12.06
2014-02-16,2014,12,IFC,9033254.0,0.0,90173022208.0,111831.0,0.11,0.0,-2.71,0.0,1.53
2014-02-16,2014,13,XPM,8737520.0,1.96,4458304.0,116488.0,2.5,2.009,-6.53,1.832012,-16.73
2014-02-16,2014,14,MEC,8648518.0,0.39,22201200.0,142105.0,3.01,0.401739,-3.92,0.374712,-25.4
2014-02-16,2014,15,FTC,8293341.0,0.25,33522850.0,56625.0,1.61,0.254025,-5.43,0.236425,19.89
2014-02-16,2014,16,WDC,7029160.0,0.16,44981152.0,530569.0,3.02,0.164832,-17.23,0.132432,-9.08
2014-02-16,2014,17,NVC,6109920.0,8.65,706423.0,45124.0,2.8,8.8922,-5.93,8.137055,-13.63
